title;keyword;file
2212-Staff-POS-Staff Display-Can not login FR POS;2212-Staff-POS-Staff Display-Can not login FR POS;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2212-Staff-POS-Staff%20Display-Can%20not%20login%20FR%20POS.pptx?d=w39bb800ffebe47a09c800c9d743ca0bc&csf=1&web=1&e=cBlxxw
2612-Staff-POS-Customer Display-Launch Shopper Display button is gray;2612-Staff-POS-Customer Display-Launch Shopper Display button is gray;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2612-Staff-POS-Customer%20Display-Launch%20Shopper%20Display%20button%20is%20gray.pptx?d=we332e79da2904d1bae5895df7ddf26f4&csf=1&web=1&e=aFngwN
Apple TV Lost connection;Apple TV Lost connection;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Apple%20TV%20Lost%20connection.pptx?d=w5c218d16c5e545289104eaba7578de40&csf=1&web=1&e=JMjR5q
Apple TV mất mạng_VI;Apple TV mất mạng_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Apple%20TV%20m%E1%BA%A5t%20m%E1%BA%A1ng_VI.pptx?d=w653f6f1753ca445c952358805fdaaa40&csf=1&web=1&e=YcGiMC
Apple TV not show the content;Apple TV not show the content;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Apple%20TV%20not%20show%20the%20content.pptx?d=w435747e5d0e741d482e4c605a1140c49&csf=1&web=1&e=gfs9pF
Backup switch for Aruba switch (TW POS) - Manual;Backup switch for Aruba switch (TW POS) - Manual;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Backup%20switch%20for%20Aruba%20switch%20(TW%20POS)%20-%20Manual.pptx?d=w425704cd6b4d4baea088f0b84f8f2a1d&csf=1&web=1&e=sI7pVQ
Based information;Based information;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Based%20information.pptx?d=wbbd0649bf1114683bb85f411761704dc&csf=1&web=1&e=fy9ixy
Hướng dẫn backup khi Aruba switch lỗi;Hướng dẫn backup khi Aruba switch lỗi;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/H%C6%B0%E1%BB%9Bng%20d%E1%BA%ABn%20backup%20khi%20Aruba%20switch%20l%E1%BB%97i.pptx?d=w6dce31de043f490c8bc76c692407cebf&csf=1&web=1&e=kAQyLn
Laptop_lỗi máy in;Laptop_lỗi máy in;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Laptop_l%E1%BB%97i%20m%C3%A1y%20in.pptx?d=we0ca223dc5cc4e0c9edc24e8ca0dc4cf&csf=1&web=1&e=PwIGlf
Mac mini (Edge server) lost connection - Manual;Mac mini (Edge server) lost connection - Manual;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Mac%20mini%20(Edge%20server)%20lost%20connection%20-%20Manual.pptx?d=wc6b33d85daa94918ba6913361537b1f4&csf=1&web=1&e=yuUaaN
Mac mini (Edge server) mất kết nối - Manual;Mac mini (Edge server) mất kết nối - Manual;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/Mac%20mini%20(Edge%20server)%20m%E1%BA%A5t%20k%E1%BA%BFt%20n%E1%BB%91i%20-%20Manual.pptx?d=w4529d7b6830c4e46a161d5c043018dd7&csf=1&web=1&e=kFevzN
